Time	EMG	Muscle Force
0	0	0.249858
0.001	0	0.249858
0.002	0	0.249858
0.003	0	0.249858
0.004	0	0.249858
0.005	0	0.249858
0.006	0	0.249858
0.007	0	0.249488
0.008	0	0.249488
0.009	0	0.249488
0.01	0	0.249488
0.011	0	0.249488
0.012	0	0.249488
0.013	0	0.249488
0.014	0	0.249488
0.015	0	0.249488
0.016	0	0.249488
0.017	0	0.249488
0.018	0	0.249488
0.019	0	0.249488
0.02	0	0.249488
0.021	0	0.249488
0.022	0	0.249488
0.023	0	0.249488
0.024	0	0.249488
0.025	0	0.249488
0.026	0	0.249488
0.027	0	0.249488
0.028	0	0.249488
0.029	0	0.249488
0.03	0	0.249488
0.031	0	0.249488
0.032	0	0.249488
0.033	0	0.249488
0.034	0	0.249488
0.035	0	0.249488
0.036	0	0.249488
0.037	0	0.249488
0.038	0	0.249488
0.039	0	0.249488
0.04	0	0.249488
0.041	0	0.249488
0.042	0	0.249488
0.043	0	0.249858
0.044	0	0.249488
0.045	0	0.249858
0.046	0	0.249858
0.047	0	0.249858
0.048	0	0.249858
0.049	0	0.249858
0.05	0	0.249858
0.051	0.0656153	0.249858
0.052	-0.00355935	0.249858
0.053	0.0935743	0.249858
0.054	0.0865892	0.249858
0.055	0.0854674	0.249858
0.056	-0.013266	0.249858
0.057	-0.0805368	0.249858
0.058	-0.0214527	0.249858
0.059	0.0152866	0.249858
0.06	-0.0651488	0.249858
0.061	-0.12279	0.249858
0.062	0.0190578	0.249858
0.063	0.139011	0.249858
0.064	0.104133	0.249858
0.065	0.000578721	0.249858
0.066	0.031251	0.249858
0.067	-0.0644981	0.249858
0.068	-0.17011	0.249858
0.069	-0.120226	0.249858
0.07	0.0142279	0.249858
0.071	0.173253	0.249858
0.072	0.27131	0.249858
0.073	0.163258	0.249858
0.074	-0.359165	0.249858
0.075	-0.227147	0.249858
0.076	0.0555346	0.249858
0.077	-0.0151369	0.249858
0.078	-0.00102132	0.249858
0.079	0.11253	0.249858
0.08	0.147396	0.249488
0.081	0.104486	0.249488
0.082	-0.0667087	0.249488
0.083	-0.100049	0.249488
0.084	-0.151967	0.249488
0.085	-0.0618406	0.249488
0.086	0.038205	0.249488
0.087	0.0798778	0.249858
0.088	0.0670484	0.249488
0.089	0.0690596	0.249488
0.09	0.0707544	0.249488
0.091	-0.119037	0.249488
0.092	-0.093505	0.249858
0.093	0.0109154	0.249488
0.094	-0.0176856	0.249488
0.095	0.0137021	0.249488
0.096	0.0171745	0.249488
0.097	0.0217961	0.249858
0.098	0.0490232	0.249488
0.099	0.0235319	0.249488
0.1	0.00029437	0.249858
0.101	0.016279	0.249488
0.102	-0.0617479	0.249488
0.103	-0.137314	0.249488
0.104	0.00591929	0.249488
0.105	0.00665834	0.249488
0.106	0.0113426	0.249858
0.107	0.0952764	0.249858
0.108	0.201603	0.249858
0.109	0.122959	0.249488
0.11	-0.236834	0.249858
0.111	-0.301819	0.249488
0.112	-0.0283255	0.249858
0.113	0.105154	0.249858
0.114	0.119672	0.249858
0.115	0.0432485	0.249858
0.116	0.0744703	0.249488
0.117	0.0299689	0.249858
0.118	-0.068948	0.249858
0.119	-0.0704219	0.249858
0.12	-0.0815853	0.249858
0.121	-0.0568555	0.249858
0.122	0.109067	0.249858
0.123	0.086082	0.249858
0.124	-0.0113847	0.249858
0.125	-0.00952836	0.249488
0.126	-0.0537193	0.249488
0.127	0.00257291	0.249488
0.128	0.0342746	0.249488
0.129	-0.0326658	0.249488
0.13	-0.00116676	0.249488
0.131	0.000598307	0.249488
0.132	0.0199186	0.249488
0.133	0.0258673	0.249488
0.134	-0.00833184	0.249488
0.135	-0.0592876	0.249488
0.136	0.0382627	0.249488
0.137	0.0916096	0.249488
0.138	-0.086997	0.249488
0.139	-0.134838	0.249488
0.14	0.158315	0.249488
0.141	0.0798601	0.249488
0.142	-0.2172	0.249488
0.143	-0.106739	0.249488
0.144	0.26026	0.249488
0.145	0.226325	0.249488
0.146	-0.111023	0.249488
0.147	-0.229564	0.249488
0.148	-0.0814345	0.249488
0.149	0.0531857	0.249488
0.15	0.042486	0.249488
0.151	0.0499054	0.249488
