Time	EMG	Muscle Force
0	0	0.248007
0.001	0	0.248377
0.002	0	0.248747
0.003	0	0.248747
0.004	0	0.248007
0.005	0	0.248747
0.006	0	0.248377
0.007	0	0.248007
0.008	0	0.248747
0.009	0	0.248007
0.01	0	0.248747
0.011	0	0.248747
0.012	0	0.248747
0.013	0	0.248747
0.014	0	0.248747
0.015	0	0.248377
0.016	0	0.249488
0.017	0	0.248747
0.018	0	0.248747
0.019	0	0.248747
0.02	0	0.248377
0.021	0	0.248377
0.022	0	0.248747
0.023	0	0.249117
0.024	0	0.248747
0.025	0	0.248747
0.026	0	0.248747
0.027	0	0.248377
0.028	0	0.248747
0.029	0	0.248747
0.03	0	0.248377
0.031	0	0.248747
0.032	0	0.249117
0.033	0	0.248747
0.034	0	0.249117
0.035	0	0.249117
0.036	0	0.249117
0.037	0	0.248377
0.038	0	0.249117
0.039	0	0.249117
0.04	0	0.248377
0.041	0	0.249488
0.042	0	0.248747
0.043	0	0.249117
0.044	0	0.249117
0.045	0	0.249117
0.046	0	0.249117
0.047	0	0.248377
0.048	0	0.249117
0.049	0	0.248377
0.05	0	0.248747
0.051	-0.0602035	0.248377
0.052	-0.00866304	0.248747
0.053	0.0467235	0.248747
0.054	-0.0221308	0.248747
0.055	-0.0309765	0.249117
0.056	0.0477825	0.249117
0.057	0.0479845	0.248747
0.058	-0.130357	0.248747
0.059	-0.118399	0.248747
0.06	0.0175259	0.248747
0.061	0.080003	0.248747
0.062	0.149706	0.248747
0.063	0.0889997	0.248747
0.064	-0.0286878	0.248747
0.065	-0.126867	0.248747
0.066	-0.0844422	0.248747
0.067	-0.0397593	0.248747
0.068	0.0483294	0.249117
0.069	0.108956	0.249117
0.07	0.0275003	0.249117
0.071	-0.130144	0.248747
0.072	-0.0869481	0.249117
0.073	0.0704563	0.248747
0.074	0.14118	0.248747
0.075	0.00707276	0.249488
0.076	-0.0428251	0.248747
0.077	-0.0280137	0.248747
0.078	-0.0683144	0.248747
0.079	0.0139435	0.248747
0.08	-0.020876	0.249488
0.081	0.022763	0.248747
0.082	0.0445037	0.248747
0.083	0.0663799	0.249117
0.084	0.108877	0.248377
0.085	-0.0553948	0.249117
0.086	-0.258076	0.249117
0.087	-0.185983	0.248747
0.088	0.0673013	0.248747
0.089	0.26996	0.248747
0.09	0.252351	0.248747
0.091	0.0125061	0.248747
0.092	-0.145991	0.249117
0.093	-0.193384	0.248747
0.094	-0.104332	0.248747
0.095	-0.020377	0.248747
0.096	0.0752071	0.249117
0.097	0.140893	0.248747
0.098	0.0242798	0.248377
0.099	-0.0134319	0.249117
0.1	0.0129394	0.249117
0.101	-0.0311031	0.249117
0.102	-0.00762545	0.249488
0.103	0.0185021	0.248747
0.104	-0.0213034	0.249117
0.105	-0.0641806	0.248747
0.106	-0.0942219	0.249117
0.107	0.0451818	0.248747
0.108	0.0770474	0.248377
0.109	0.114788	0.248747
0.11	0.0698495	0.248747
0.111	-0.110065	0.248747
0.112	-0.1518	0.248747
0.113	0.0307373	0.248747
0.114	0.0469298	0.248747
0.115	0.0468459	0.248377
0.116	-0.0269111	0.249117
0.117	-0.0635673	0.248377
0.118	0.0216203	0.248747
0.119	0.125931	0.248377
0.12	0.021509	0.249117
0.121	-0.0881317	0.248747
0.122	-0.0746144	0.248747
0.123	-0.0480867	0.248747
0.124	-0.015644	0.249117
0.125	0.155703	0.248747
0.126	0.146728	0.248747
0.127	-0.0304667	0.249117
0.128	-0.155436	0.248747
0.129	-0.110884	0.248747
0.13	-0.0114595	0.248747
0.131	0.00227472	0.248747
0.132	0.126752	0.248747
0.133	0.146935	0.248747
0.134	-0.0708555	0.249117
0.135	-0.107946	0.248747
0.136	0.0903329	0.249117
0.137	0.022675	0.248747
0.138	-0.148335	0.249117
0.139	-0.112068	0.249117
0.14	0.0859948	0.249117
0.141	0.164929	0.249117
0.142	0.00900487	0.248377
0.143	-0.114738	0.248747
0.144	-0.0135747	0.249117
0.145	0.0710395	0.249117
0.146	0.0444587	0.248747
0.147	-0.0223579	0.248747
0.148	-0.0108835	0.248747
0.149	-0.0841127	0.248377
0.15	-0.102189	0.248747
0.151	-0.0335491	0.248747
0.152	0.119947	0.249117
0.153	0.24652	0.248747
0.154	0.128956	0.248747
0.155	-0.109439	0.248747
0.156	-0.280572	0.248377
0.157	-0.242851	0.248747
0.158	0.0291916	0.248747
0.159	0.222185	0.248377
0.16	0.180669	0.248747
0.161	0.0549481	0.249117
0.162	0.00231793	0.248747
0.163	-0.0339586	0.249117
0.164	-0.127976	0.248377
0.165	-0.129928	0.248377
0.166	0.00366299	0.248747
0.167	0.107206	0.248747
0.168	0.0102993	0.248377
0.169	-0.115146	0.249117
0.17	-0.0172335	0.249117
0.171	0.187666	0.248747
0.172	0.192616	0.249117
0.173	0.026134	0.249117
0.174	-0.212715	0.248377
0.175	-0.248399	0.249117
0.176	-0.0499617	0.248747
0.177	0.15215	0.249117
0.178	0.153813	0.248747
0.179	-0.0288006	0.248377
0.18	-0.0281771	0.248377
0.181	0.0235982	0.249117
0.182	0.0331573	0.248747
0.183	0.0159263	0.248747
0.184	-0.0508004	0.248747
0.185	-0.107944	0.248747
0.186	-0.0569807	0.248377
0.187	0.0379348	0.248747
0.188	0.0830704	0.248747
0.189	0.0703937	0.248747
0.19	0.0577895	0.248747
0.191	0.00701814	0.248377
0.192	-0.0759328	0.248377
0.193	-0.105702	0.248377
0.194	-0.0551748	0.248747
0.195	0.0158804	0.248747
0.196	0.0682643	0.248377
0.197	0.0623368	0.248377
0.198	-0.0227942	0.249117
0.199	-0.0441461	0.248747
0.2	0.0535222	0.249117
0.201	0.0811671	0.248747
0.202	0.0400367	0.248747
0.203	-0.0497104	0.248747
0.204	-0.140763	0.248377
0.205	-0.202014	0.248747
0.206	0.0493627	0.248747
0.207	0.215277	0.248747
0.208	0.132912	0.248377
0.209	-0.0738267	0.248747
0.21	-0.0724714	0.248747
0.211	0.00397344	0.248377
0.212	0.0271483	0.248377
0.213	-0.0525688	0.248377
0.214	-0.0242198	0.248377
0.215	0.0989003	0.248747
0.216	0.0552915	0.248747
0.217	-0.108106	0.248747
0.218	-0.179167	0.249117
0.219	-0.07526	0.249117
0.22	0.187749	0.248747
0.221	0.207639	0.248747
0.222	0.0874384	0.248747
0.223	-0.106398	0.248377
0.224	-0.148178	0.248747
0.225	-0.0235443	0.248747
0.226	-0.0117624	0.249117
0.227	-0.0681467	0.248747
0.228	0.069476	0.248747
0.229	0.0550558	0.248747
0.23	-0.0118267	0.249488
0.231	-0.00561849	0.248747
0.232	0.0695563	0.249117
0.233	0.114036	0.248747
0.234	0.0793636	0.248377
0.235	-0.170316	0.248377
0.236	-0.255335	0.248377
0.237	-0.147729	0.248747
0.238	0.125365	0.248747
0.239	0.187924	0.248377
0.24	0.163165	0.248747
0.241	0.132057	0.248747
0.242	-0.054152	0.249117
0.243	-0.188222	0.248747
0.244	-0.148707	0.248747
0.245	-0.0265837	0.249117
0.246	0.0587561	0.248747
0.247	0.0378899	0.248377
0.248	-0.0269329	0.248747
0.249	0.0229104	0.248747
0.25	0.09955	0.249117
0.251	0.0887784	0.248747
0.252	0.0505862	0.248747
0.253	-0.0362317	0.248747
0.254	-0.196399	0.248747
0.255	-0.176624	0.249117
0.256	0.0198214	0.248377
0.257	0.110255	0.248747
0.258	0.120585	0.249117
0.259	0.127147	0.248747
